source_file,slug,category,caption,city,year,custom_crop
PXL_20220919_192349350.jpg,gallery-panel-siemens-stucco,panel,Electrical system with metal enclosures — with panel and wiring detail (work in progress),Los Angeles,2022,
PXL_20220828_161543284.jpg,gallery-panel-subpanel-labeled,panel,Electrical work in unfinished wood-framed space — with panel and wiring detail (work in progress),Sherman Oaks,2022,
PXL_20220828_161553337.jpg,gallery-panel-dual-meter,panel,Electrical system with metal enclosures — with panel and wiring detail (work in progress),Sherman Oaks,2022,"0,0,3024,2268"
PXL_20201106_164020592.jpg,gallery-panel-three-wire,panel,Electrical system with metal enclosures (work in progress),Los Angeles,2020,
PXL_20230130_160003939.jpg,gallery-panel-commercial-disconnect,panel,Electrical work in unfinished wood-framed space (work in progress),Los Angeles,2023,
PXL_20220127_182456344.jpg,gallery-panel-meter-removal,panel,Electrical work in unfinished wood-framed space — with panel and wiring detail (detailed installation view),Burbank,2022,
PXL_20220819_195533102.jpg,gallery-panel-drywall-install,panel,Electrical system with metal enclosures — with panel and wiring detail (detailed installation view),Glendale,2022,
PXL_20211005_145006407.jpg,gallery-commercial-switchgear-tall,commercial,Electrical system with metal enclosures (work in progress),Los Angeles,2021,
PXL_20211005_145007948.jpg,gallery-commercial-switchgear-angle,commercial,Electrical system with metal enclosures (work in progress),Los Angeles,2021,
PXL_20211005_152013531.jpg,gallery-commercial-bus-duct,commercial,Indoor electrical installation with metal components — with panel and wiring detail (work in progress),Los Angeles,2021,
PXL_20230104_182838539.jpg,gallery-commercial-parking-team,commercial,Electrical work in unfinished wood-framed space — with panel and wiring detail (detailed installation view),Studio City,2023,
PXL_20201106_164036237.jpg,gallery-commercial-meter-bank,commercial,Electrical work in unfinished wood-framed space — featuring electrical panel enclosure (work in progress),Los Angeles,2020,
PXL_20230126_193116290.jpg,gallery-commercial-switchgear-clean,commercial,Electrical work in unfinished wood-framed space — featuring electrical panel enclosure (work in progress),Los Angeles,2023,
PXL_20230103_160830153.jpg,gallery-commercial-switchgear-200a,commercial,Electrical equipment in dimly lit area — with panel and wiring detail (work in progress),Los Angeles,2023,
PXL_20201012_153659884.jpg,gallery-roughin-framing-conduit,new-construction,Electrical work in unfinished wood-framed space — with panel and wiring detail (detailed installation view),Encino,2020,
PXL_20211011_164525422.jpg,gallery-roughin-steel-stud,new-construction,Electrical work in unfinished wood-framed space — with copper wiring and terminals visible (work in progress),Los Angeles,2021,
PXL_20210729_193811348.jpg,gallery-roughin-foundation-pipe,new-construction,Electrical work in unfinished wood-framed space — with panel and wiring detail (detailed installation view),Sherman Oaks,2021,
PXL_20210811_140246737.jpg,gallery-construction-apartment,new-construction,Electrical work in unfinished wood-framed space — with panel and wiring detail (work in progress),North Hollywood,2021,
PXL_20201012_153703447.jpg,gallery-roughin-worker-framing,new-construction,Electrical work in unfinished wood-framed space — with panel and wiring detail (work in progress),Encino,2020,
PXL_20201026_205323183.jpg,gallery-lighting-kitchen,lighting,Electrical work in unfinished wood-framed space — featuring electrical panel enclosure (work in progress),Beverly Hills,2020,
PXL_20220201_201034406.jpg,gallery-lighting-commercial-install,lighting,Electrical work in unfinished wood-framed space — showing color-coded wiring and connections (work in progress),Los Angeles,2022,
PXL_20220809_163618386.jpg,gallery-lighting-chandelier,lighting,Electrical work in unfinished wood-framed space — featuring electrical panel enclosure (work in progress),Beverly Hills,2022,
PXL_20201021_172954566.jpg,gallery-utility-crane,lighting,Electrical work in unfinished wood-framed space — with panel and wiring detail (detailed installation view),Los Angeles,2020,
PXL_20211102_211951738.jpg,gallery-team-worker-foundation,team,Electrical work in unfinished wood-framed space — with panel and wiring detail (work in progress),Pasadena,2021,
PXL_20221213_183851937.jpg,gallery-team-utility-lines,team,Electrical work in unfinished wood-framed space — with panel and wiring detail (work in progress),Los Angeles,2022,
PXL_20220810_192807209.jpg,gallery-commercial-parking-conduit,commercial,Electrical equipment in dimly lit area — featuring electrical panel enclosure (work in progress),Studio City,2022,
PXL_20230706_153455218.jpg,gallery-lifestyle-home-pool,lifestyle,Electrical system with metal enclosures — with conduit and raceway runs (detailed installation view),Hollywood Hills,2023,
PXL_20230710_173242120.jpg,gallery-exterior-spanish-apartment,exterior,Electrical system with metal enclosures — featuring electrical panel enclosure (work in progress),Santa Monica,2023,
PXL_20201026_205327826.jpg,gallery-lighting-kitchen-alt,lighting,Electrical work in unfinished wood-framed space — featuring electrical panel enclosure (work in progress),Beverly Hills,2020,
PXL_20230125_175545163.jpg,gallery-equipment-pipe-threader,equipment,Electrical equipment in dimly lit area — featuring electrical panel enclosure (work in progress),Los Angeles,2023,
IMG_20260113_134511994.jpg,photo-20260113-01,uncategorized,Electrical system with metal enclosures — featuring electrical panel enclosure (work in progress),,2026,
IMG_20260113_134507506.jpg,photo-20260113-02,uncategorized,Exterior electrical installation with blue sky backdrop (work in progress),,2026,
IMG_20260113_134432554.jpg,photo-20260113-03,uncategorized,Electrical work in unfinished wood-framed space — with panel and wiring detail (detailed installation view),,2026,
IMG_20260112_111146924.jpg,photo-20260112-01,uncategorized,Electrical system with metal enclosures — with copper wiring and terminals visible (work in progress),,2026,
IMG_20260112_111138748.jpg,photo-20260112-02,uncategorized,Electrical system with metal enclosures — with copper wiring and terminals visible (work in progress),,2026,
IMG_20260112_111126897_HDR.jpg,photo-20260112-03,panel,Electrical equipment in dimly lit area (work in progress),,2026,
IMG_20260111_114413577_HDR.jpg,photo-20260111-01,panel,Electrical work in unfinished wood-framed space — featuring electrical panel enclosure (work in progress),,2026,
IMG_20260111_114406075_HDR.jpg,photo-20260111-02,panel,Electrical system with metal enclosures — featuring electrical panel enclosure (work in progress),,2026,
IMG_20260111_110753470_HDR.jpg,photo-20260111-03,panel,Electrical work in unfinished wood-framed space — with copper wiring and terminals visible (work in progress),,2026,
IMG_20260111_110749461_HDR.jpg,photo-20260111-04,panel,Electrical system with metal enclosures — with copper wiring and terminals visible (work in progress),,2026,
IMG_20251217_080059365.jpg,photo-20251217-01,uncategorized,Electrical equipment in dimly lit area — with copper wiring and terminals visible (work in progress),,2025,
IMG_20251217_080042210.jpg,photo-20251217-02,uncategorized,Electrical equipment in dimly lit area — with copper wiring and terminals visible (work in progress),,2025,
IMG_20251217_080035401.jpg,photo-20251217-03,uncategorized,Electrical work in unfinished wood-framed space — with copper wiring and terminals visible (work in progress),,2025,
IMG_20251215_133059854.jpg,photo-20251215-01,uncategorized,Brightly lit electrical installation (evenly lit workspace),,2025,
IMG_20251215_133054972.jpg,photo-20251215-02,uncategorized,Brightly lit electrical installation — on finished wall surface (evenly lit workspace),,2025,
IMG_20251212_091632491.jpg,photo-20251212-01,uncategorized,Brightly lit electrical installation — on finished wall surface (evenly lit workspace),,2025,
IMG_20251211_134206331.jpg,photo-20251211-01,uncategorized,Electrical work in unfinished wood-framed space (work in progress),,2025,
IMG_20251211_134203178.jpg,photo-20251211-02,uncategorized,Electrical system with metal enclosures — with copper wiring and terminals visible (work in progress),,2025,
IMG_20251211_134142505.jpg,photo-20251211-03,uncategorized,Electrical system with metal enclosures — featuring electrical panel enclosure (work in progress),,2025,
IMG_20251211_134152187_HDR.jpg,photo-20251211-04,panel,Electrical work in unfinished wood-framed space — with copper wiring and terminals visible (work in progress),,2025,
